tweet_id,tweet_date,tweet_year,tweet_month,tweet_text,dog_name,dog_stage,dog_score,total_score,number_of_times_retweeted,number_of_times_loved,number_of_dog_images,dog_breed,confidence_of_true_recognition,tweet_expanded_urls
829449946868879360,2017-02-08 22:00:52.000000,2017,2,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 https://t.co/fmRS43mWQB,None,doggo,11,10,2177,10977,1,Labrador_retriever,0.315163,https://twitter.com/dog_rates/status/829449946868879360/photo/1
829374341691346946,2017-02-08 17:00:26.000000,2017,2,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao,Astrid,doggo,13,10,9986,36313,2,Staffordshire_bullterrier,0.757547,"https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1"
828381636999917570,2017-02-05 23:15:47.000000,2017,2,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly https://t.co/iCk7zstRA9,Doobert,doggo,14,10,2394,13255,1,Bedlington_terrier,0.392535,https://twitter.com/dog_rates/status/828381636999917570/photo/1
826958653328592898,2017-02-02 01:01:21.000000,2017,2,This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR,Loki,doggo,12,10,5388,22684,1,golden_retriever,0.6173890000000001,https://twitter.com/dog_rates/status/826958653328592898/photo/1
826848821049180160,2017-02-01 17:44:55.000000,2017,2,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af https://t.co/WS0Gha8vRh,Cupid,doggo,13,10,11004,38349,4,Great_Pyrenees,0.858764,"https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1"
826476773533745153,2017-01-31 17:06:32.000000,2017,1,This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. 12/10 https://t.co/YIV8sw8xkh,Pilot,doggo,12,10,4527,19380,1,German_shepherd,0.7418600000000001,https://twitter.com/dog_rates/status/826476773533745153/photo/1
826204788643753985,2017-01-30 23:05:46.000000,2017,1,"Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 
https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX",None,doggo,13,10,1003,5140,4,Labrador_retriever,0.782058,"http://us.blastingnews.com/news/2017/01/kentucky-teen-helps-lost-yellow-labrador-and-gets-a-huge-surprise-001431969.html?sbdht=_pM1QUzk3wsenGU1giO7UnJ5NGGiKRW9AD5xs2MkaDpYY13JxbtKE4w2_,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1"
821765923262631936,2017-01-18 17:07:18.000000,2017,1,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af https://t.co/maDNMETA52,Duchess,doggo,13,10,1802,8885,1,golden_retriever,0.980071,https://twitter.com/dog_rates/status/821765923262631936/photo/1
821107785811234820,2017-01-16 21:32:06.000000,2017,1,Here's a doggo who looks like he's about to give you a list of mythical ingredients to go collect for his potion. 11/10 would obey https://t.co/8SiwKDlRcl,None,doggo,11,10,2304,10128,1,Pomeranian,0.85659,https://twitter.com/dog_rates/status/821107785811234820/photo/1
819006400881917954,2017-01-11 02:21:57.000000,2017,1,This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb,Sunny,doggo,14,10,20521,47792,4,unknown,0.0,"https://twitter.com/dog_rates/status/819006400881917954/photo/1,https://twitter.com/dog_rates/status/819006400881917954/photo/1,https://twitter.com/dog_rates/status/819006400881917954/photo/1,https://twitter.com/dog_rates/status/819006400881917954/photo/1"
819004803107983360,2017-01-11 02:15:36.000000,2017,1,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,Bo,doggo,14,10,39829,91704,4,standard_poodle,0.351308,"https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1"
813910438903693312,2016-12-28 00:52:25.000000,2016,12,This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist https://t.co/z1VRj1cYZf,Chubbs,doggo,11,10,2040,9864,1,Siberian_husky,0.6993550000000001,https://twitter.com/dog_rates/status/813910438903693312/photo/1
813202720496779264,2016-12-26 02:00:11.000000,2016,12,Here's a doggo who has concluded that Christmas is entirely too bright. Requests you tone it down a notch. 11/10 https://t.co/cD967DjnIn,None,doggo,11,10,1958,9753,1,cocker_spaniel,0.701852,https://twitter.com/dog_rates/status/813202720496779264/photo/1
813127251579564032,2016-12-25 21:00:18.000000,2016,12,Here's an anonymous doggo that appears to be very done with Christmas. 11/10 cheer up pup https://t.co/BzITyGw3JA,None,doggo,11,10,3404,12593,2,Norwegian_elkhound,0.432416,"https://twitter.com/dog_rates/status/813127251579564032/photo/1,https://twitter.com/dog_rates/status/813127251579564032/photo/1"
813096984823349248,2016-12-25 19:00:02.000000,2016,12,This is Rocky. He got triple-doggo-dared. Stuck af. 11/10 someone help him https://t.co/soNL00XWVu,Rocky,doggo,11,10,3914,11187,1,Great_Dane,0.128056,https://twitter.com/dog_rates/status/813096984823349248/photo/1
808106460588765185,2016-12-12 00:29:28.000000,2016,12,Here we have Burke (pupper) and Dexter (doggo). Pupper wants to be exactly like doggo. Both 12/10 would pet at same time https://t.co/ANBpEYHaho,None,pupper & doggo,12,10,2393,9297,1,golden_retriever,0.426183,https://twitter.com/dog_rates/status/808106460588765185/photo/1
801115127852503040,2016-11-22 17:28:25.000000,2016,11,This is Bones. He's being haunted by another doggo of roughly the same size. 12/10 deep breaths pupper everything's fine https://t.co/55Dqe0SJNj,Bones,pupper,12,10,2277,8608,2,dalmatian,0.823356,"https://twitter.com/dog_rates/status/801115127852503040/photo/1,https://twitter.com/dog_rates/status/801115127852503040/photo/1"
799757965289017345,2016-11-18 23:35:32.000000,2016,11,This is Sobe. She's a h*ckin happy doggo. Only one leg tho. Must have good balance. 13/10 would smile back https://t.co/OiH8PaOxB1,Sobe,doggo,13,10,2358,8954,4,Border_collie,0.442534,"https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1"
796484825502875648,2016-11-09 22:49:15.000000,2016,11,Here's a sleepy doggo that requested some assistance. 12/10 would carry everywhere https://t.co/bvkkqOjNDV,None,doggo,12,10,1926,8073,1,cocker_spaniel,0.116924,https://twitter.com/dog_rates/status/796484825502875648/photo/1
786363235746385920,2016-10-13 00:29:39.000000,2016,10,This is Rizzo. He has many talents. A true renaissance doggo. 13/10 entertaining af https://t.co/TVXpEJB7Wn,Rizzo,doggo,13,10,3810,11579,4,golden_retriever,0.929266,"https://twitter.com/dog_rates/status/786363235746385920/photo/1,https://twitter.com/dog_rates/status/786363235746385920/photo/1,https://twitter.com/dog_rates/status/786363235746385920/photo/1,https://twitter.com/dog_rates/status/786363235746385920/photo/1"
782747134529531904,2016-10-03 01:00:34.000000,2016,10,This is Deacon. He's the happiest almost dry doggo I've ever seen. 11/10 would smile back https://t.co/C6fUMnHt1H,Deacon,doggo,11,10,1513,7921,1,golden_retriever,0.560699,https://twitter.com/dog_rates/status/782747134529531904/photo/1
782305867769217024,2016-10-01 19:47:08.000000,2016,10,This is Sampson. He just graduated. Ready to be a doggo now. Time for the real world. 12/10 have fun with taxes https://t.co/pgVKxRw0s1,Sampson,doggo,12,10,6051,17693,3,briard,0.5044270000000001,"https://twitter.com/dog_rates/status/782305867769217024/photo/1,https://twitter.com/dog_rates/status/782305867769217024/photo/1,https://twitter.com/dog_rates/status/782305867769217024/photo/1"
775733305207554048,2016-09-13 16:30:07.000000,2016,9,This is Anakin. He strives to reach his full doggo potential. Born with blurry tail tho. 11/10 would still pet well https://t.co/9CcBSxCXXG,Anakin,doggo,11,10,4320,14649,1,unknown,0.0,https://twitter.com/dog_rates/status/775733305207554048/photo/1
775364825476165632,2016-09-12 16:05:54.000000,2016,9,This is Finley. He's an independent doggo still adjusting to life on his own. 11/10 https://t.co/7FNcBaKbci,Finley,doggo,11,10,3212,7856,4,beagle,0.571229,"https://twitter.com/dog_rates/status/775364825476165632/photo/1,https://twitter.com/dog_rates/status/775364825476165632/photo/1,https://twitter.com/dog_rates/status/775364825476165632/photo/1,https://twitter.com/dog_rates/status/775364825476165632/photo/1"
768193404517830656,2016-08-23 21:09:14.000000,2016,8,Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10 https://t.co/WmczvjCWJq,Gerald,doggo,8,10,3815,11503,1,unknown,0.0,https://twitter.com/dog_rates/status/768193404517830656/photo/1
767191397493538821,2016-08-21 02:47:37.000000,2016,8,I don't know any of the backstory behind this picture but for some reason I'm crying. 13/10 for owner and doggo https://t.co/QOKZdus9TT,None,doggo,13,10,4090,12937,1,unknown,0.0,https://twitter.com/dog_rates/status/767191397493538821/photo/1
760893934457552897,2016-08-03 17:43:45.000000,2016,8,This is Wishes. He has the day off. Daily struggles of being a doggo have finally caught up with him. 11/10 https://t.co/H9YgrUkYwa,Wishes,doggo,11,10,1042,4026,1,Blenheim_spaniel,0.113992,https://twitter.com/dog_rates/status/760893934457552897/photo/1
759793422261743616,2016-07-31 16:50:42.000000,2016,7,"Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time https://t.co/MYwR4DQKll",Maggie,pupper & doggo,12,10,2039,6269,2,golden_retriever,0.985876,"https://twitter.com/dog_rates/status/759793422261743616/photo/1,https://twitter.com/dog_rates/status/759793422261743616/photo/1"
758828659922702336,2016-07-29 00:57:05.000000,2016,7,This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,None,doggo,13,10,4103,11742,1,Chesapeake_Bay_retriever,0.480048,https://twitter.com/dog_rates/status/758828659922702336/photo/1
757393109802180609,2016-07-25 01:52:43.000000,2016,7,Here's a doggo completely oblivious to the double rainbow behind him. 10/10 someone tell him https://t.co/OfvRoD6ndV,None,doggo,10,10,1874,6122,4,Labrador_retriever,0.787125,"https://twitter.com/dog_rates/status/757393109802180609/photo/1,https://twitter.com/dog_rates/status/757393109802180609/photo/1,https://twitter.com/dog_rates/status/757393109802180609/photo/1,https://twitter.com/dog_rates/status/757393109802180609/photo/1"
756526248105566208,2016-07-22 16:28:07.000000,2016,7,All hail sky doggo. 13/10 would jump super high to pet https://t.co/CsLRpqdeTF,None,doggo,13,10,3871,10921,1,unknown,0.0,https://twitter.com/dog_rates/status/756526248105566208/photo/1
755206590534418437,2016-07-19 01:04:16.000000,2016,7,This is one of the most inspirational stories I've ever come across. I have no words. 14/10 for both doggo and owner https://t.co/I5ld3eKD5k,None,doggo,14,10,5777,17293,4,unknown,0.0,"https://twitter.com/dog_rates/status/755206590534418437/photo/1,https://twitter.com/dog_rates/status/755206590534418437/photo/1,https://twitter.com/dog_rates/status/755206590534418437/photo/1,https://twitter.com/dog_rates/status/755206590534418437/photo/1"
752682090207055872,2016-07-12 01:52:49.000000,2016,7,Nothing better than a doggo and a sunset. 10/10 majestic af https://t.co/xVSodF19PS,None,doggo,10,10,1721,6282,2,German_shepherd,0.299966,"https://twitter.com/dog_rates/status/752682090207055872/photo/1,https://twitter.com/dog_rates/status/752682090207055872/photo/1"
752660715232722944,2016-07-12 00:27:52.000000,2016,7,"Hooman used Pokeball
*wiggle*
*wiggle*
Doggo broke free 
10/10 https://t.co/bWSgqnwSHr",None,doggo,10,10,1684,4624,2,English_setter,0.0505118,"https://twitter.com/dog_rates/status/752660715232722944/photo/1,https://twitter.com/dog_rates/status/752660715232722944/photo/1"
751583847268179968,2016-07-09 01:08:47.000000,2016,7,Please stop sending it pictures that don't even have a doggo or pupper in them. Churlish af. 5/10 neat couch tho https://t.co/u2c9c7qSg8,None,None,5,10,1189,4612,1,dalmatian,0.8683040000000001,https://twitter.com/dog_rates/status/751583847268179968/photo/1
750011400160841729,2016-07-04 17:00:26.000000,2016,7,Meet Piper. She's an airport doggo. Please return your tray table to its full pupright and locked position. 11/10 https://t.co/D17IAcetmM,Piper,doggo,11,10,968,3401,1,Boston_bull,0.0871498,https://twitter.com/dog_rates/status/750011400160841729/photo/1
748932637671223296,2016-07-01 17:33:49.000000,2016,7,Say hello to Divine Doggo. Must be magical af. 13/10 would be an honor to pet https://t.co/BbcABzohKb,Divine,doggo,13,10,2413,6108,1,borzoi,0.742912,https://twitter.com/dog_rates/status/748932637671223296/photo/1
748692773788876800,2016-07-01 01:40:41.000000,2016,7,That is Quizno. This is his beach. He does not tolerate human shenanigans on his beach. 10/10 reclaim ur land doggo https://t.co/vdr7DaRSa7,None,doggo,10,10,1414,4435,1,unknown,0.0,https://twitter.com/dog_rates/status/748692773788876800/photo/1
745433870967832576,2016-06-22 01:50:58.000000,2016,6,This is Lenox. She's in a wheelbarrow. Silly doggo. You don't belong there. 10/10 would push around https://t.co/oYbVR4nBsR,Lenox,doggo,10,10,2698,7398,3,basset,1.44895e-05,"https://twitter.com/dog_rates/status/745433870967832576/photo/1,https://twitter.com/dog_rates/status/745433870967832576/photo/1,https://twitter.com/dog_rates/status/745433870967832576/photo/1"
741067306818797568,2016-06-10 00:39:48.000000,2016,6,This is just downright precious af. 12/10 for both pupper and doggo https://t.co/o5J479bZUC,None,pupper & doggo,12,10,3272,9843,1,golden_retriever,0.843799,https://twitter.com/dog_rates/status/741067306818797568/photo/1
735256018284875776,2016-05-24 23:47:49.000000,2016,5,This is Kellogg. He accidentally opened the front facing camera. 8/10 get it together doggo https://t.co/MRYv7nDPyS,Kellogg,doggo,8,10,938,3471,1,Staffordshire_bullterrier,0.523191,https://twitter.com/dog_rates/status/735256018284875776/photo/1
733109485275860992,2016-05-19 01:38:16.000000,2016,5,"Like father (doggo), like son (pupper). Both 12/10 https://t.co/pG2inLaOda",None,pupper & doggo,12,10,17776,51183,1,golden_retriever,0.945523,https://twitter.com/dog_rates/status/733109485275860992/photo/1
732375214819057664,2016-05-17 01:00:32.000000,2016,5,This is Kyle (pronounced 'Mitch'). He strives to be the best doggo he can be. 11/10 would pat on head approvingly https://t.co/aA2GiTGvlE,Kyle,doggo,11,10,2664,8403,1,basset,0.000547053,https://twitter.com/dog_rates/status/732375214819057664/photo/1
727644517743104000,2016-05-03 23:42:26.000000,2016,5,Here's a doggo struggling to cope with the winds. 13/10 https://t.co/qv3aUwaouT,None,doggo,13,10,1842,6114,2,Great_Pyrenees,0.457164,"https://twitter.com/dog_rates/status/727644517743104000/photo/1,https://twitter.com/dog_rates/status/727644517743104000/photo/1"
724771698126512129,2016-04-26 01:26:53.000000,2016,4,Nothin better than a doggo and a sunset. 11/10 https://t.co/JlFqOhrHEs,None,doggo,11,10,675,2462,4,German_short-haired_pointer,0.835491,"https://twitter.com/dog_rates/status/724771698126512129/photo/1,https://twitter.com/dog_rates/status/724771698126512129/photo/1,https://twitter.com/dog_rates/status/724771698126512129/photo/1,https://twitter.com/dog_rates/status/724771698126512129/photo/1"
719991154352222208,2016-04-12 20:50:42.000000,2016,4,This doggo was initially thrilled when she saw the happy cartoon pup but quickly realized she'd been deceived. 10/10 https://t.co/mvnBGaWULV,None,doggo,10,10,1836,5004,2,golden_retriever,0.605304,"https://twitter.com/dog_rates/status/719991154352222208/photo/1,https://twitter.com/dog_rates/status/719991154352222208/photo/1"
716080869887381504,2016-04-02 01:52:38.000000,2016,4,Here's a super majestic doggo and a sunset 11/10 https://t.co/UACnoyi8zu,None,doggo,11,10,2021,6975,2,golden_retriever,0.638625,"https://twitter.com/dog_rates/status/716080869887381504/photo/1,https://twitter.com/dog_rates/status/716080869887381504/photo/1"
883360690899218434,2017-07-07 16:22:55.000000,2017,7,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,Grizzwald,floofer,13,10,3602,22164,1,chow,0.987997,https://twitter.com/dog_rates/status/883360690899218434/photo/1
800388270626521089,2016-11-20 17:20:08.000000,2016,11,This is Doc. He takes time out of every day to worship our plant overlords. 12/10 quite the floofer https://t.co/azMneS6Ly5,Doc,floofer,12,10,3065,11877,3,golden_retriever,0.35986,"https://twitter.com/dog_rates/status/800388270626521089/photo/1,https://twitter.com/dog_rates/status/800388270626521089/photo/1,https://twitter.com/dog_rates/status/800388270626521089/photo/1"
776218204058357768,2016-09-15 00:36:55.000000,2016,9,Atlas rolled around in some chalk and now he's a magical rainbow floofer. 13/10 please never take a bath https://t.co/nzqTNw0744,None,floofer,13,10,17275,31759,3,Samoyed,0.940326,"https://twitter.com/dog_rates/status/776218204058357768/photo/1,https://twitter.com/dog_rates/status/776218204058357768/photo/1,https://twitter.com/dog_rates/status/776218204058357768/photo/1"
737445876994609152,2016-05-31 00:49:32.000000,2016,5,Just wanted to share this super rare Rainbow Floofer in case you guys haven't seen it yet. 13/10 colorful af https://t.co/CaG9MzD3WT,None,floofer,13,10,4720,10694,1,Samoyed,0.400568,https://twitter.com/dog_rates/status/737445876994609152/photo/1
733822306246479872,2016-05-21 00:50:46.000000,2016,5,This is Moose. He's a Polynesian Floofer. Dapper af. 10/10 would pet diligently https://t.co/mVfqRdppTL,Moose,floofer,10,10,1065,3804,1,Lhasa,0.457356,https://twitter.com/dog_rates/status/733822306246479872/photo/1
685307451701334016,2016-01-08 03:50:03.000000,2016,1,Say hello to Petrick. He's an Altostratus Floofer. Just had a run in with a trash bag. Groovy checkered floor. 11/10 https://t.co/rwW7z1JAOF,Petrick,floofer,11,10,467,2161,1,Pomeranian,0.963176,https://twitter.com/dog_rates/status/685307451701334016/photo/1
886366144734445568,2017-07-15 23:25:31.000000,2017,7,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Roscoe,pupper,12,10,3107,20716,2,French_bulldog,0.999201,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1"
882762694511734784,2017-07-06 00:46:41.000000,2017,7,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,Gus,pupper,12,10,4768,27649,1,Labrador_retriever,0.85005,https://twitter.com/dog_rates/status/882762694511734784/photo/1
876838120628539392,2017-06-19 16:24:33.000000,2017,6,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,Ginger,pupper,12,10,3261,20255,2,bloodhound,0.575751,"https://twitter.com/dog_rates/status/876838120628539392/photo/1,https://twitter.com/dog_rates/status/876838120628539392/photo/1"
874296783580663808,2017-06-12 16:06:11.000000,2017,6,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,Jed,pupper,13,10,4021,25538,1,cocker_spaniel,0.437216,https://twitter.com/dog_rates/status/874296783580663808/photo/1
873213775632977920,2017-06-09 16:22:42.000000,2017,6,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",Sierra,pupper,12,10,1554,7089,2,vizsla,0.6197819999999999,"https://www.gofundme.com/help-my-baby-sierra-get-better,https://twitter.com/dog_rates/status/873213775632977920/photo/1,https://twitter.com/dog_rates/status/873213775632977920/photo/1"
871762521631449091,2017-06-05 16:15:56.000000,2017,6,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 https://t.co/AiVljI6QCg,Rover,pupper,12,10,3425,19916,3,Labrador_retriever,0.921393,"https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1"
866450705531457537,2017-05-22 00:28:40.000000,2017,5,"This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender https://t.co/wk7TfysWHr",Jamesy,pupper,13,10,35202,121305,2,French_bulldog,0.905334,"https://twitter.com/dog_rates/status/866450705531457537/photo/1,https://twitter.com/dog_rates/status/866450705531457537/photo/1"
854120357044912130,2017-04-17 23:52:16.000000,2017,4,Sometimes you guys remind me just how impactful a pupper can be. Cooper will be remembered as a good boy by so many. 14/10 rest easy friend https://t.co/oBL7LEJEzR,None,pupper,14,10,7706,32475,4,black-and-tan_coonhound,0.8548610000000001,"https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1"
850019790995546112,2017-04-06 16:18:05.000000,2017,4,Say hello to Boomer. He's a sandy pupper. Having a h*ckin blast. 12/10 would pet passionately https://t.co/ecb3LvExde,Boomer,pupper,12,10,5098,20988,3,Shetland_sheepdog,0.759907,"https://twitter.com/dog_rates/status/850019790995546112/photo/1,https://twitter.com/dog_rates/status/850019790995546112/photo/1,https://twitter.com/dog_rates/status/850019790995546112/photo/1"
